study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB22684	SAMEA104680362	ERX2434848	ERR2394045	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/005/ERR2394045/ERR2394045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/005/ERR2394045/ERR2394045_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394045/HT-SELEX__ligand-lig147__TF-ATF3__cycle-3__batch-FJ45__well-D13__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394045/HT-SELEX__ligand-lig147__TF-ATF3__cycle-3__batch-FJ45__well-D13__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/005/ERR2394045
PRJEB22684	SAMEA104680363	ERX2434849	ERR2394046	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/006/ERR2394046/ERR2394046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/006/ERR2394046/ERR2394046_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394046/HT-SELEX__ligand-lig147__TF-ATF3__cycle-4__batch-FJ45__well-D13__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394046/HT-SELEX__ligand-lig147__TF-ATF3__cycle-4__batch-FJ45__well-D13__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/006/ERR2394046
PRJEB22684	SAMEA104680364	ERX2434850	ERR2394047	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394047/ERR2394047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394047/ERR2394047_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394047/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-1__batch-FJ45__well-G7__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394047/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-1__batch-FJ45__well-G7__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/007/ERR2394047
PRJEB22684	SAMEA104680365	ERX2434851	ERR2394048	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394048/ERR2394048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394048/ERR2394048_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394048/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-2__batch-FJ45__well-G7__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394048/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-2__batch-FJ45__well-G7__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/008/ERR2394048
PRJEB22684	SAMEA104680366	ERX2434852	ERR2394049	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394049/ERR2394049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394049/ERR2394049_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394049/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-3__batch-FJ45__well-G7__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394049/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-3__batch-FJ45__well-G7__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/009/ERR2394049
PRJEB22684	SAMEA104680367	ERX2434853	ERR2394050	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394050/ERR2394050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394050/ERR2394050_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394050/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-4__batch-FJ45__well-G7__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394050/HT-SELEX__ligand-lig147__TF-ATOH1__cycle-4__batch-FJ45__well-G7__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/000/ERR2394050
PRJEB22684	SAMEA104680368	ERX2434854	ERR2394051	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394051/ERR2394051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394051/ERR2394051_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394051/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-1__batch-FJ45__well-P22__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394051/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-1__batch-FJ45__well-P22__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/001/ERR2394051
PRJEB22684	SAMEA104680369	ERX2434855	ERR2394052	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394052/ERR2394052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394052/ERR2394052_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394052/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-2__batch-FJ45__well-P22__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394052/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-2__batch-FJ45__well-P22__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/002/ERR2394052
PRJEB22684	SAMEA104680370	ERX2434856	ERR2394053	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394053/ERR2394053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394053/ERR2394053_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394053/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-3__batch-FJ45__well-P22__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394053/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-3__batch-FJ45__well-P22__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/003/ERR2394053
PRJEB22684	SAMEA104680371	ERX2434857	ERR2394054	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/004/ERR2394054/ERR2394054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/004/ERR2394054/ERR2394054_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394054/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-4__batch-FJ45__well-P22__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394054/HT-SELEX__ligand-lig147__TF-BARHL1__cycle-4__batch-FJ45__well-P22__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/004/ERR2394054
PRJEB22684	SAMEA104680372	ERX2434858	ERR2394055	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/005/ERR2394055/ERR2394055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/005/ERR2394055/ERR2394055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394055/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-1__batch-FJ45__well-G19__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394055/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-1__batch-FJ45__well-G19__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/005/ERR2394055
PRJEB22684	SAMEA104680373	ERX2434859	ERR2394056	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/006/ERR2394056/ERR2394056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/006/ERR2394056/ERR2394056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394056/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-2__batch-FJ45__well-G19__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394056/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-2__batch-FJ45__well-G19__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/006/ERR2394056
PRJEB22684	SAMEA104680374	ERX2434860	ERR2394057	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394057/ERR2394057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/007/ERR2394057/ERR2394057_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394057/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-3__batch-FJ45__well-G19__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394057/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-3__batch-FJ45__well-G19__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/007/ERR2394057
PRJEB22684	SAMEA104680375	ERX2434861	ERR2394058	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394058/ERR2394058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/008/ERR2394058/ERR2394058_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394058/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-4__batch-FJ45__well-G19__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394058/HT-SELEX__ligand-lig147__TF-BHLHA15__cycle-4__batch-FJ45__well-G19__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/008/ERR2394058
PRJEB22684	SAMEA104680376	ERX2434862	ERR2394059	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394059/ERR2394059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/009/ERR2394059/ERR2394059_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394059/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-1__batch-FJ45__well-N11__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394059/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-1__batch-FJ45__well-N11__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/009/ERR2394059
PRJEB22684	SAMEA104680377	ERX2434863	ERR2394060	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394060/ERR2394060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/000/ERR2394060/ERR2394060_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394060/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-2__batch-FJ45__well-N11__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394060/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-2__batch-FJ45__well-N11__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/000/ERR2394060
PRJEB22684	SAMEA104680378	ERX2434864	ERR2394061	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394061/ERR2394061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/001/ERR2394061/ERR2394061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394061/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-3__batch-FJ45__well-N11__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394061/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-3__batch-FJ45__well-N11__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/001/ERR2394061
PRJEB22684	SAMEA104680379	ERX2434865	ERR2394062	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394062/ERR2394062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/002/ERR2394062/ERR2394062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394062/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-4__batch-FJ45__well-N11__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394062/HT-SELEX__ligand-lig147__TF-BHLHB2__cycle-4__batch-FJ45__well-N11__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/002/ERR2394062
PRJEB22684	SAMEA104680380	ERX2434866	ERR2394063	32630	synthetic construct	ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394063/ERR2394063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR239/003/ERR2394063/ERR2394063_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394063/HT-SELEX__ligand-lig147__TF-BHLHB8__cycle-1__batch-FJ45__well-D20__PEread-R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR2394063/HT-SELEX__ligand-lig147__TF-BHLHB8__cycle-1__batch-FJ45__well-D20__PEread-R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR239/003/ERR2394063
