TF	Nucleosome	NCAP	HT
FEV	0.0294666828713167	0.0394388821154373	0.0310245679314071
NKX2-3	0.0295011886845951	0.0389293181285236	0.0314762394921942
SRF	0.0297271080665791	0.0419590473761102	0.0300184679842333
POU3F4	0.0304488034476831	0.0425418748089134	0.0379425671779495
MLX	0.0297124882103583	0.0390070977258286	0.0321747674870318
PAX2	0.0291830594769729	0.0359658880237301	0.0261511256206216
NFATC2	0.0293576692416108	0.0362423677204394	0.0386105289896488
POU2F3	0.0305387846617232	0.0410049909255898	0.0373383534303075
HSF1	0.0286564847296476	0.0399285312748899	0.0336980283972652
CREB5	0.0297263311428028	0.039750638134043	0.0298729263336669
CREB3L1	0.0290668297177603	0.0366116062026846	0.0335044309906116
TFEB	0.0293847365657273	0.0347045496927063	0.0259715119515915
TCF12	0.0292507972326039	0.0329527769854733	0.0252527471853677
ETV4	0.0294238791783281	0.0343737112113035	0.027064353469108
XBP1	0.0293333333333333	0.0389584640684238	0.0285983895879606
CREB3L4	0.0294667154055481	0.037174032863688	0.029537749111056
JUND	0.0294879151606218	0.035516978742766	0.0300927366221857
POU1F1	0.0306709223468902	0.0423876956887339	0.0384055364270175
ELF5	0.0299386711649863	0.0379145662719879	0.0350431350402591
SPIB	0.0296830332679726	0.0355939916220751	0.0457085139299094
ETV5	0.0293860738698743	0.0379814762346759	0.0310038794228571
TFAP4	0.029357604415359	0.0323482213469084	0.0245420136934179
ETV1	0.0291679577412834	0.0344564885870061	0.0297076077444078
CREB1	0.0296838112930067	0.0400936204509591	0.037915288930877
RFX1	0.029990090830856	0.0340872254687663	0.0322970163854243
MAF	0.0299658828801337	0.043582285098251	0.0379966554475985
CLOCK	0.0294231513743709	0.0383730164697727	0.0281652975036013
TFE3	0.0293712892698463	0.0386450736107045	0.0316067311024216
NKX2-4	0.0294077609603784	0.0359367155502708	0.027131128611686
HSF4	0.0293528476919097	0.0386655452761424	0.0340758169354331
SREBF2	0.0289195648912536	0.0366528388686226	0.0319054875181067
ELK3	0.0294485838036136	0.0390362139152047	0.0305909918802894
CEBPE	0.0299795249270121	0.0399164777796815	0.036916473924322
TFEC	0.0293883258285787	0.0353411239793295	0.0360416030922592
CEBPB	0.0299795249270121	0.0390261750335717	0.0335661493825812
DUXA	0.0294092830449563	0.0337119801650968	0.0364780004702823
CDX1	0.0297401119760277	0.042808568361384	0.0390187456607267
MIXL1	0.0304828465308455	0.0414470809591325	0.0341636493462999
SHOX	0.029859184621945	0.03850123298123	0.0296985393261671
NKX6-2	0.0298552022689954	0.0470847909378644	0.0390791383384759
PDX1	0.0290612484126209	0.0415074836682378	0.0341255454178226
LBX2	0.0300685500623182	0.0455793308702791	0.0336168549388672
MSX2	0.0298315314442337	0.042607254247639	0.0383890419371071
LMX1A	0.0298156582086315	0.0431002554278416	0.0387434894251254
MSX1	0.0298315314442337	0.0445120944749557	0.0393941269939537
LMX1B	0.0298156582086315	0.0426956347225581	0.0410052227849581
EN1	0.0295052723950916	0.0391077458303489	0.030378193256313
FOXI1	0.0293363343925307	0.0417470477763684	0.0371433539247882
RAX	0.0299971965236894	0.0436602122197582	0.0334910064347671
FOXJ2	0.029075934473708	0.0413594068766483	0.0500187357224765
HOXD9	0.0288909599254427	0.0418490095857975	0.0411150575826068
SOX18	0.030943222427866	0.0412752413886439	0.0341511158565685
SOX7	0.0310538309398917	0.0393106777875287	0.0381299360478921
VENTX	0.0295997167625397	0.0404270753512133	0.0343856335235646
FOXD2	0.0294460288652666	0.0501516290485277	0.0472460301641087
VAX2	0.0294947985243704	0.0427466005559312	0.0355825521978952
DLX5	0.0289565406436501	0.0434415693287878	0.0341175519443771
HOXA2	0.0294760918486195	0.040355541446768	0.0333282290975468
HOXD4	0.02893260148296	0.0415670607241488	0.0374329123690869
SOX11	0.030785852826701	0.0379530835082876	0.0477461539257374
DLX4	0.0289565406436501	0.0439160217250908	0.033569474291915
PROP1	0.0298756138362744	0.0416492841200077	0.0317525152635652
PRRX1	0.0302806106412507	0.0404469811797398	0.0360336939591291
RFX5	0.0300807872861398	0.0288225635081619	0.0263707226846347
GSX2	0.0300543991368071	0.0450906851768921	0.035808464342839
